NCT Number,Study Title,Sex
NCT03978546,Diagnostic Performance of Smart Supra Perimetry (The DPSSP Study),ALL
NCT03978546,Diagnostic Performance of Smart Supra Perimetry (The DPSSP Study),ALL
NCT03868462,Optos P200TE Agreement and Precision Study,ALL
NCT02338362,Inhaled Corticosteroids: Effect on Intraocular Pressure in Patients With Controlled Glaucoma,ALL
NCT03921372,Isometric Exercise in NTG,ALL
NCT01912638,Trabeculectomy With Ologen Collagen Implant vs Trabeculectomy With Provisc in Steroid Induced Glaucoma,ALL
NCT03756662,Performance and Safety of the ARGOS-SC01 Suprachoroidal Pressure Sensor in Patients With Glaucoma Undergoing Non-penetrating Glaucoma Surgery,ALL
NCT00140062,Efficacy And Safety Of Xalatan Compared To Usual Care In Patients With Open Angle Glaucoma Or Ocular Hypertension.,ALL
NCT00913562,Effect of Rosuvastatin on Endothelial Function in Patients With Diabetes and Glaucoma,ALL
NCT02384772,Survey of Patients Taking IOP-Lowering Eye Drops,ALL
NCT01180062,Safety Study of Latanoprost Slow Release Insert,ALL
NCT00956462,Steroids Versus Non-steroidal Anti-inflammatory Drugs Following Glaucoma Surgery,ALL
NCT01363362,Selective Lasertrabeculoplasty and Ocular Hemodynamics in Glaucoma,ALL
NCT02028572,Structure Function Correlation in Primary Open Angle Glaucoma,ALL
NCT03691662,A Phase III Study Assessing the Efficacy and Safety of DE-117 Ophthalmic Solution Compared With Timolol Maleate Ophthalmic Solution 0.5% in Subjects With Glaucoma or Ocular Hypertension - Spectrum 4 Study,ALL
NCT01348672,Prospective Study Phase: Retinal Oxygen Saturation Blood Flow Vascular Function and High Resolution Morphometric Imaging in the Living Human Eye,ALL
NCT00533962,IOP Reduction After Anecortave Acetate Injection in Glaucoma Patients,ALL
NCT04019210,Modified Trabeculectomy for Glaucoma Surgery,ALL
NCT05532410,Optic Disc Photograph Collection Study,ALL
NCT04912310,Efficacy Evaluation and Influencing Factors of Argon Laser Peripheral Iridoplasty in Acute Angle Closure Glaucoma,ALL
NCT03797846,Comparison of Fixation Suture Type in Glaucoma Surgery,ALL
NCT00750646,Observational Study of How Patients Take Eye Drops,ALL
NCT01282346,SOLX Gold Shunt for Refractory Glaucoma,ALL
NCT03318146,Safety Tolerability and Preliminary Efficacy of Unilateral Latanoprost-loaded Punctual Plug -EXP-LP,ALL
NCT01637246,A Study of Patients With Primary Open Angle Glaucoma or Ocular Hypertension Who Were Insufficiently Responsive to Monotherapy,ALL
NCT03267862,Scleral Response to Intraocular Pressure (IOP),ALL
NCT05147610,Precision of the Icare200 for Measuring Intraocular Pressure,ALL
NCT01895972,Long-Term Safety of Latanoprostene Bunod Ophthalmic Solution 0.024% in Japanese Subjects With OAG or OHT,ALL
NCT00892762,Travoprost APS Versus Xalatan® in Patient Reported Outcomes and Ocular Surface Health,ALL
NCT00332072,Safety and Efficacy Study of Bimatoprost/Timolol Fixed Combination in Patients Wtih Glaucoma or Ocular Hypertension,ALL
NCT02312362,High Frequency Deep Sclerotomy (HFDS) ab Interno a Combination Surgical Intervention Using Cataract Surgery to Lower IOP,ALL
NCT00788762,Myocilin Variations and Familial Glaucoma in Taxiarchis,ALL
NCT01781962,A Study of Quantitative Assessments of Angle Width in Chinese Patients With Open-angle Glaucoma and/or Ocular Hypertension,ALL
