NCT Number,Study Title,Study URL,Study_Status,Study Type
NCT03978546,Diagnostic Performance of Smart Supra Perimetry (The DPSSP Study),https://clinicaltrials.gov/study/NCT03978546,COMPLETED,INTERVENTIONAL
NCT03978546,Diagnostic Performance of Smart Supra Perimetry (The DPSSP Study),https://clinicaltrials.gov/study/NCT03978546,COMPLETED,INTERVENTIONAL
NCT03868462,Optos P200TE Agreement and Precision Study,https://clinicaltrials.gov/study/NCT03868462,COMPLETED,INTERVENTIONAL
NCT02338362,Inhaled Corticosteroids: Effect on Intraocular Pressure in Patients With Controlled Glaucoma,https://clinicaltrials.gov/study/NCT02338362,COMPLETED,INTERVENTIONAL
NCT03921372,Isometric Exercise in NTG,https://clinicaltrials.gov/study/NCT03921372,COMPLETED,INTERVENTIONAL
NCT01912638,Trabeculectomy With Ologen Collagen Implant vs Trabeculectomy With Provisc in Steroid Induced Glaucoma,https://clinicaltrials.gov/study/NCT01912638,COMPLETED,INTERVENTIONAL
NCT03756662,Performance and Safety of the ARGOS-SC01 Suprachoroidal Pressure Sensor in Patients With Glaucoma Undergoing Non-penetrating Glaucoma Surgery,https://clinicaltrials.gov/study/NCT03756662,COMPLETED,INTERVENTIONAL
NCT00140062,Efficacy And Safety Of Xalatan Compared To Usual Care In Patients With Open Angle Glaucoma Or Ocular Hypertension.,https://clinicaltrials.gov/study/NCT00140062,COMPLETED,INTERVENTIONAL
NCT00913562,Effect of Rosuvastatin on Endothelial Function in Patients With Diabetes and Glaucoma,https://clinicaltrials.gov/study/NCT00913562,WITHDRAWN,INTERVENTIONAL
NCT02384772,Survey of Patients Taking IOP-Lowering Eye Drops,https://clinicaltrials.gov/study/NCT02384772,COMPLETED,OBSERVATIONAL
NCT01180062,Safety Study of Latanoprost Slow Release Insert,https://clinicaltrials.gov/study/NCT01180062,TERMINATED,INTERVENTIONAL
NCT00956462,Steroids Versus Non-steroidal Anti-inflammatory Drugs Following Glaucoma Surgery,https://clinicaltrials.gov/study/NCT00956462,UNKNOWN,INTERVENTIONAL
NCT01363362,Selective Lasertrabeculoplasty and Ocular Hemodynamics in Glaucoma,https://clinicaltrials.gov/study/NCT01363362,COMPLETED,INTERVENTIONAL
NCT02028572,Structure Function Correlation in Primary Open Angle Glaucoma,https://clinicaltrials.gov/study/NCT02028572,COMPLETED,OBSERVATIONAL
NCT03691662,A Phase III Study Assessing the Efficacy and Safety of DE-117 Ophthalmic Solution Compared With Timolol Maleate Ophthalmic Solution 0.5% in Subjects With Glaucoma or Ocular Hypertension - Spectrum 4 Study,https://clinicaltrials.gov/study/NCT03691662,COMPLETED,INTERVENTIONAL
NCT01348672,Prospective Study Phase: Retinal Oxygen Saturation Blood Flow Vascular Function and High Resolution Morphometric Imaging in the Living Human Eye,https://clinicaltrials.gov/study/NCT01348672,UNKNOWN,OBSERVATIONAL
NCT00533962,IOP Reduction After Anecortave Acetate Injection in Glaucoma Patients,https://clinicaltrials.gov/study/NCT00533962,UNKNOWN,INTERVENTIONAL
NCT04019210,Modified Trabeculectomy for Glaucoma Surgery,https://clinicaltrials.gov/study/NCT04019210,UNKNOWN,INTERVENTIONAL
NCT05532410,Optic Disc Photograph Collection Study,https://clinicaltrials.gov/study/NCT05532410,COMPLETED,INTERVENTIONAL
NCT04912310,Efficacy Evaluation and Influencing Factors of Argon Laser Peripheral Iridoplasty in Acute Angle Closure Glaucoma,https://clinicaltrials.gov/study/NCT04912310,UNKNOWN,INTERVENTIONAL
NCT03797846,Comparison of Fixation Suture Type in Glaucoma Surgery,https://clinicaltrials.gov/study/NCT03797846,COMPLETED,INTERVENTIONAL
NCT00750646,Observational Study of How Patients Take Eye Drops,https://clinicaltrials.gov/study/NCT00750646,UNKNOWN,OBSERVATIONAL
NCT01282346,SOLX Gold Shunt for Refractory Glaucoma,https://clinicaltrials.gov/study/NCT01282346,COMPLETED,INTERVENTIONAL
NCT03318146,Safety Tolerability and Preliminary Efficacy of Unilateral Latanoprost-loaded Punctual Plug -EXP-LP,https://clinicaltrials.gov/study/NCT03318146,UNKNOWN,INTERVENTIONAL
NCT01637246,A Study of Patients With Primary Open Angle Glaucoma or Ocular Hypertension Who Were Insufficiently Responsive to Monotherapy,https://clinicaltrials.gov/study/NCT01637246,COMPLETED,OBSERVATIONAL
NCT03267862,Scleral Response to Intraocular Pressure (IOP),https://clinicaltrials.gov/study/NCT03267862,COMPLETED,OBSERVATIONAL
NCT05147610,Precision of the Icare200 for Measuring Intraocular Pressure,https://clinicaltrials.gov/study/NCT05147610,COMPLETED,INTERVENTIONAL
NCT01895972,Long-Term Safety of Latanoprostene Bunod Ophthalmic Solution 0.024% in Japanese Subjects With OAG or OHT,https://clinicaltrials.gov/study/NCT01895972,COMPLETED,INTERVENTIONAL
NCT00892762,Travoprost APS Versus Xalatan® in Patient Reported Outcomes and Ocular Surface Health,https://clinicaltrials.gov/study/NCT00892762,COMPLETED,INTERVENTIONAL
NCT00332072,Safety and Efficacy Study of Bimatoprost/Timolol Fixed Combination in Patients Wtih Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT00332072,COMPLETED,INTERVENTIONAL
NCT02312362,High Frequency Deep Sclerotomy (HFDS) ab Interno a Combination Surgical Intervention Using Cataract Surgery to Lower IOP,https://clinicaltrials.gov/study/NCT02312362,UNKNOWN,INTERVENTIONAL
NCT00788762,Myocilin Variations and Familial Glaucoma in Taxiarchis,https://clinicaltrials.gov/study/NCT00788762,UNKNOWN,OBSERVATIONAL
NCT01781962,A Study of Quantitative Assessments of Angle Width in Chinese Patients With Open-angle Glaucoma and/or Ocular Hypertension,https://clinicaltrials.gov/study/NCT01781962,TERMINATED,OBSERVATIONAL
NCT03094910,Investigation of the Rewarming og the Fingers After Cooling and the Autonomic Nervous System in Raynaud's Phenomenon,https://clinicaltrials.gov/study/NCT03094910,COMPLETED,INTERVENTIONAL
NCT04202510,IOP and Medication Reduction in MIGS Procedures,https://clinicaltrials.gov/study/NCT04202510,WITHDRAWN,INTERVENTIONAL
NCT00345046,A Comparison of Three Different Formulations of Prednisolone Acetate 1%,https://clinicaltrials.gov/study/NCT00345046,COMPLETED,INTERVENTIONAL
NCT05275738,The Glaucoma Nicotinamide Trial,https://clinicaltrials.gov/study/NCT05275738,RECRUITING,INTERVENTIONAL
NCT05275738,The Glaucoma Nicotinamide Trial,https://clinicaltrials.gov/study/NCT05275738,RECRUITING,INTERVENTIONAL
NCT05275738,The Glaucoma Nicotinamide Trial,https://clinicaltrials.gov/study/NCT05275738,RECRUITING,INTERVENTIONAL
NCT05275738,The Glaucoma Nicotinamide Trial,https://clinicaltrials.gov/study/NCT05275738,RECRUITING,INTERVENTIONAL
NCT05275738,The Glaucoma Nicotinamide Trial,https://clinicaltrials.gov/study/NCT05275738,RECRUITING,INTERVENTIONAL
NCT05275738,The Glaucoma Nicotinamide Trial,https://clinicaltrials.gov/study/NCT05275738,RECRUITING,INTERVENTIONAL
NCT05275738,The Glaucoma Nicotinamide Trial,https://clinicaltrials.gov/study/NCT05275738,RECRUITING,INTERVENTIONAL
NCT05275738,The Glaucoma Nicotinamide Trial,https://clinicaltrials.gov/study/NCT05275738,RECRUITING,INTERVENTIONAL
NCT05275738,The Glaucoma Nicotinamide Trial,https://clinicaltrials.gov/study/NCT05275738,RECRUITING,INTERVENTIONAL
NCT05392738,Visual Function and Patient Satisfaction in Glaucoma or Ocular Hypertensive Patients Undergoing Simultaneous Cataract Surgery and i-Stent Implantation,https://clinicaltrials.gov/study/NCT05392738,ENROLLING_BY_INVITATION,OBSERVATIONAL
NCT02279472,Optical Coherence Tomography Quantitative Analysis of Changes in Anterior Chamber After Laser Peripheral Lridotomy,https://clinicaltrials.gov/study/NCT02279472,UNKNOWN,INTERVENTIONAL
NCT02865473,Anterior Segment Imaging With Ultrahigh-resolution OCT in Patients With Glaucoma and PEX - a Pilot Study,https://clinicaltrials.gov/study/NCT02865473,RECRUITING,INTERVENTIONAL
NCT05207761,Study to Evaluate Drug-drug Interaction Safety and Tolerability in Case of the Co-administration of D565 and D930,https://clinicaltrials.gov/study/NCT05207761,COMPLETED,INTERVENTIONAL
NCT01667861,Risk Factors for Glaucoma in Musicians,https://clinicaltrials.gov/study/NCT01667861,COMPLETED,OBSERVATIONAL
NCT01206361,Real World Data Study Assessing The Persistency Of Xalacom And The Other Fixed Dose Combination Products Duotrav And Ganfort In The United Kingdom,https://clinicaltrials.gov/study/NCT01206361,COMPLETED,OBSERVATIONAL
NCT04552964,Assessment of the Impact of an add-on and Its Smartphone Application on the Daily Management of Glaucoma,https://clinicaltrials.gov/study/NCT04552964,COMPLETED,INTERVENTIONAL
NCT01068964,Safety and Efficacy of Bimatoprost Timolol Ophthalmic Solution in Patients With Open Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT01068964,COMPLETED,INTERVENTIONAL
NCT02825264,STAR-LIFE Registry: STARflo Glaucoma Implant Clinical Experience Program,https://clinicaltrials.gov/study/NCT02825264,ACTIVE_NOT_RECRUITING,OBSERVATIONAL
NCT01741961,Long Term Outcome After Ahmed Glaucoma Valve,https://clinicaltrials.gov/study/NCT01741961,COMPLETED,OBSERVATIONAL
NCT00802061,Sleep at 30 Degrees in Glaucoma,https://clinicaltrials.gov/study/NCT00802061,COMPLETED,INTERVENTIONAL
NCT01306461,Tafluprost-Timolol Fixed Dose Combination Non-Inferiority Study Against Concomitant Administrations,https://clinicaltrials.gov/study/NCT01306461,COMPLETED,INTERVENTIONAL
NCT00825864,Diclofenac vs Dexamethasone in Combined Surgery,https://clinicaltrials.gov/study/NCT00825864,COMPLETED,INTERVENTIONAL
NCT04647461,Comparison of Efficacy and Ocular Surface Disease Assessment Between BRIDIN-T Eye Drops 0.15% and ALPHAGAN-P Eye Drops 0.15% in Glaucoma or Ocular Hypertensive Patients : Phase 4 Parallel Group Design Investigator-blind Active-control Randomized Multi-center Trial,https://clinicaltrials.gov/study/NCT04647461,UNKNOWN,INTERVENTIONAL
NCT00001161,Abnormalities of the Eye's Anterior Chamber Iris Cornea and Lens,https://clinicaltrials.gov/study/NCT00001161,COMPLETED,OBSERVATIONAL
NCT01157364,Safety and Efficacy of a New Ophthalmic Formulation of Bimatoprost in Patients With Open Angle Glaucoma and Ocular Hypertension,https://clinicaltrials.gov/study/NCT01157364,COMPLETED,INTERVENTIONAL
NCT05495061,A Comparative Confirmatory Study of STN1012600 in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT05495061,COMPLETED,INTERVENTIONAL
NCT01310764,Trabeculectomy With Subconjunctival Bevacizumab Injection,https://clinicaltrials.gov/study/NCT01310764,COMPLETED,INTERVENTIONAL
NCT00853073,Does Adding Bevacizumab Therapy in Glaucoma Surgery Improve the Success of Needle Bleb Revisions?,https://clinicaltrials.gov/study/NCT00853073,COMPLETED,INTERVENTIONAL
NCT04616573,A Post-market Study Of Use Of The OMNI® Surgical System In Open Angle Glaucoma,https://clinicaltrials.gov/study/NCT04616573,TERMINATED,INTERVENTIONAL
NCT02246764,Study of Netarsudil (AR-13324) Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT02246764,COMPLETED,INTERVENTIONAL
NCT00443664,External Micropulse Diode Laser Transscleral Trabeculoplasty (EMDLT) for Severe Open Angle Glaucoma,https://clinicaltrials.gov/study/NCT00443664,UNKNOWN,INTERVENTIONAL
NCT02024464,Comparing Hydrus Microstent(TM) to the iStent for Lowering IOP in Glaucoma Patients Undergoing Cataract Surgery,https://clinicaltrials.gov/study/NCT02024464,COMPLETED,INTERVENTIONAL
NCT04722861,Development of the Glaucoma Visual Functioning Questionnaire-40 and Its Psychometric Properties,https://clinicaltrials.gov/study/NCT04722861,UNKNOWN,OBSERVATIONAL
NCT01426464,Intraocular Pressure (IOP) Lowering Efficacy of Transdermal Latanoprost Therapy,https://clinicaltrials.gov/study/NCT01426464,UNKNOWN,INTERVENTIONAL
NCT05696561,Clinical Trial to Evaluate the Safety and Effectiveness of a Canaloplasty Device in Subjects With Open-Angle Glaucoma,https://clinicaltrials.gov/study/NCT05696561,NOT_YET_RECRUITING,INTERVENTIONAL
