NCT Number,Study Title
NCT03978546,Diagnostic Performance of Smart Supra Perimetry (The DPSSP Study)
NCT03868462,Optos P200TE Agreement and Precision Study
NCT02338362,Inhaled Corticosteroids: Effect on Intraocular Pressure in Patients With Controlled Glaucoma
NCT03921372,Isometric Exercise in NTG
NCT01912638,Trabeculectomy With Ologen Collagen Implant vs Trabeculectomy With Provisc in Steroid Induced Glaucoma
NCT03756662,Performance and Safety of the ARGOS-SC01 Suprachoroidal Pressure Sensor in Patients With Glaucoma Undergoing Non-penetrating Glaucoma Surgery
NCT00140062,Efficacy And Safety Of Xalatan Compared To Usual Care In Patients With Open Angle Glaucoma Or Ocular Hypertension.
NCT00913562,Effect of Rosuvastatin on Endothelial Function in Patients With Diabetes and Glaucoma
NCT02384772,Survey of Patients Taking IOP-Lowering Eye Drops
NCT01180062,Safety Study of Latanoprost Slow Release Insert
NCT00956462,Steroids Versus Non-steroidal Anti-inflammatory Drugs Following Glaucoma Surgery
NCT01363362,Selective Lasertrabeculoplasty and Ocular Hemodynamics in Glaucoma
NCT02028572,Structure Function Correlation in Primary Open Angle Glaucoma
NCT03691662,A Phase III Study Assessing the Efficacy and Safety of DE-117 Ophthalmic Solution Compared With Timolol Maleate Ophthalmic Solution 0.5% in Subjects With Glaucoma or Ocular Hypertension - Spectrum 4 Study
NCT01348672,Prospective Study Phase: Retinal Oxygen Saturation Blood Flow Vascular Function and High Resolution Morphometric Imaging in the Living Human Eye
NCT00533962,IOP Reduction After Anecortave Acetate Injection in Glaucoma Patients
NCT04019210,Modified Trabeculectomy for Glaucoma Surgery
NCT05532410,Optic Disc Photograph Collection Study
NCT04912310,Efficacy Evaluation and Influencing Factors of Argon Laser Peripheral Iridoplasty in Acute Angle Closure Glaucoma
NCT03797846,Comparison of Fixation Suture Type in Glaucoma Surgery
NCT00750646,Observational Study of How Patients Take Eye Drops
NCT01282346,SOLX Gold Shunt for Refractory Glaucoma
NCT03318146,Safety Tolerability and Preliminary Efficacy of Unilateral Latanoprost-loaded Punctual Plug -EXP-LP
NCT01637246,A Study of Patients With Primary Open Angle Glaucoma or Ocular Hypertension Who Were Insufficiently Responsive to Monotherapy
NCT03267862,Scleral Response to Intraocular Pressure (IOP)
NCT05147610,Precision of the Icare200 for Measuring Intraocular Pressure
NCT01895972,Long-Term Safety of Latanoprostene Bunod Ophthalmic Solution 0.024% in Japanese Subjects With OAG or OHT
NCT00892762,Travoprost APS Versus Xalatan® in Patient Reported Outcomes and Ocular Surface Health
NCT00332072,Safety and Efficacy Study of Bimatoprost/Timolol Fixed Combination in Patients Wtih Glaucoma or Ocular Hypertension
NCT02312362,High Frequency Deep Sclerotomy (HFDS) ab Interno a Combination Surgical Intervention Using Cataract Surgery to Lower IOP
NCT00788762,Myocilin Variations and Familial Glaucoma in Taxiarchis
NCT01781962,A Study of Quantitative Assessments of Angle Width in Chinese Patients With Open-angle Glaucoma and/or Ocular Hypertension
NCT03094910,Investigation of the Rewarming og the Fingers After Cooling and the Autonomic Nervous System in Raynaud's Phenomenon
NCT04202510,IOP and Medication Reduction in MIGS Procedures
NCT00345046,A Comparison of Three Different Formulations of Prednisolone Acetate 1%
NCT05275738,The Glaucoma Nicotinamide Trial
NCT05392738,Visual Function and Patient Satisfaction in Glaucoma or Ocular Hypertensive Patients Undergoing Simultaneous Cataract Surgery and i-Stent Implantation
NCT02279472,Optical Coherence Tomography Quantitative Analysis of Changes in Anterior Chamber After Laser Peripheral Lridotomy
NCT02865473,Anterior Segment Imaging With Ultrahigh-resolution OCT in Patients With Glaucoma and PEX - a Pilot Study
NCT05207761,Study to Evaluate Drug-drug Interaction Safety and Tolerability in Case of the Co-administration of D565 and D930
NCT01667861,Risk Factors for Glaucoma in Musicians
NCT01206361,Real World Data Study Assessing The Persistency Of Xalacom And The Other Fixed Dose Combination Products Duotrav And Ganfort In The United Kingdom
NCT04552964,Assessment of the Impact of an add-on and Its Smartphone Application on the Daily Management of Glaucoma
NCT01068964,Safety and Efficacy of Bimatoprost Timolol Ophthalmic Solution in Patients With Open Angle Glaucoma or Ocular Hypertension
NCT02825264,STAR-LIFE Registry: STARflo Glaucoma Implant Clinical Experience Program
NCT01741961,Long Term Outcome After Ahmed Glaucoma Valve
NCT00802061,Sleep at 30 Degrees in Glaucoma
NCT01306461,Tafluprost-Timolol Fixed Dose Combination Non-Inferiority Study Against Concomitant Administrations
NCT00825864,Diclofenac vs Dexamethasone in Combined Surgery
