NCT Number,Start Date,Completion Date
NCT03978546,2019-06-01,2022-03-01
NCT03868462,2019-02-01,2019-09-01
NCT02338362,2014-09-01,2015-02-01
NCT03921372,2018-07-01,2019-02-01
NCT01912638,2012-07-01,2016-09-01
NCT03756662,2018-11-01,2021-02-01
NCT00140062,2002-02-01,2006-04-01
NCT00913562,2009-06-01,2014-11-01
NCT02384772,2015-01-01,2015-05-01
NCT01180062,2011-01-01,2014-06-01
NCT00956462,2007-07-01,2010-06-01
NCT01363362,2010-12-01,2011-08-01
NCT02028572,2013-02-01,2014-06-01
NCT03691662,2018-09-01,2019-10-01
NCT01348672,2012-03-01,2015-08-01
NCT04019210,2015-10-01,2019-11-01
NCT05532410,2022-09-01,2023-03-01
NCT04912310,2020-07-01,2021-07-01
NCT03797846,2018-01-01,2019-06-01
NCT00750646,2008-09-01,2009-08-01
NCT01282346,2011-01-01,2015-12-01
NCT03318146,2018-06-01,2019-09-01
NCT01637246,2009-04-01,2011-11-01
NCT03267862,2014-09-01,2017-08-01
NCT05147610,2021-12-01,2022-07-01
NCT01895972,2013-07-01,2015-04-01
NCT00892762,2009-06-01,2011-05-01
NCT00332072,2001-08-01,2003-08-01
NCT02312362,2012-11-01,2016-12-01
NCT00788762,2007-08-01,2022-12-01
NCT01781962,2013-01-01,2013-06-01
NCT03094910,2017-01-01,2019-02-01
NCT04202510,2020-01-01,2020-11-01
NCT00345046,2002-09-01,2011-09-01
NCT05275738,2022-05-01,2026-12-01
NCT05392738,2022-06-01,2024-06-01
NCT02279472,2014-10-01,2015-01-01
NCT02865473,2016-04-01,2023-12-01
NCT05207761,2022-01-01,2022-11-01
NCT01667861,2011-10-01,2015-01-01
NCT01206361,2010-02-01,2010-08-01
NCT04552964,2020-09-01,2021-04-01
NCT01068964,2010-02-01,2010-09-01
NCT02825264,2016-07-01,2026-12-01
NCT01741961,2006-06-01,2012-10-01
NCT01306461,2011-03-01,2012-05-01
NCT00825864,2004-01-01,2008-01-01
NCT04647461,2019-03-01,2021-01-01
NCT00001161,1977-07-01,2002-08-01
NCT01157364,2010-09-01,2016-08-01
NCT05495061,2022-08-01,2023-04-01
NCT01310764,2009-04-01,2010-07-01
NCT00853073,2009-02-01,2012-01-01
NCT04616573,2020-11-01,2021-01-01
NCT02246764,2014-09-01,2016-12-01
NCT00443664,2006-06-01,2008-12-01
NCT02024464,2011-08-01,2018-08-01
NCT04722861,2020-09-01,2021-05-01
NCT01426464,2011-09-01,2011-12-01
NCT05696561,2023-12-01,2024-11-01
NCT03270761,2017-09-01,2019-12-01
NCT02138461,2013-10-01,2014-09-01
NCT00971061,2003-01-01,2005-08-01
NCT01212861,2010-08-01,2012-05-01
NCT01263561,2009-04-01,2013-04-01
NCT05289453,2022-02-01,2022-06-01
NCT04735653,2021-04-01,2024-02-01
NCT00628173,2005-01-01,2007-12-01
NCT01863953,2013-06-01,2013-12-01
NCT01994564,2012-11-01,2014-01-01
NCT01028664,2009-12-01,2010-10-01
NCT06152861,2023-11-01,2024-08-01
NCT00811564,2008-12-01,2010-01-01
NCT04098861,2019-01-01,2020-12-01
NCT01714960,2012-10-01,2013-12-01
NCT02796560,2016-07-01,2017-09-01
NCT01192061,2010-02-01,2011-01-01
NCT05080153,2019-11-01,2021-06-01
NCT03284853,2017-09-01,2020-11-01
NCT00519753,2007-08-01,2008-12-01
NCT01467453,2011-11-01,2012-12-01
NCT01814761,2013-05-01,2014-08-01
NCT05401760,2022-05-01,2023-03-01
NCT03374553,2017-11-01,2021-02-01
NCT03966560,2014-01-01,2015-04-01
NCT04723160,2020-08-01,2021-05-01
NCT02140060,2014-06-01,2014-11-01
NCT00763061,2006-05-01,2008-04-01
NCT00159653,2005-07-01,2007-06-01
NCT06077253,2023-09-01,2029-09-01
NCT04454138,2019-06-01,2020-04-01
NCT01059162,2010-04-01,2012-02-01
NCT06017362,2023-02-01,2025-02-01
NCT04202562,2017-02-01,2018-11-01
NCT04437446,2020-07-01,2023-12-01
NCT03752710,2016-01-01,2017-12-01
NCT00578110,2008-01-01,2010-04-01
NCT02051946,2014-05-01,2015-10-01
NCT02371746,2015-01-01,2019-02-01
NCT00545064,2007-05-01,2008-09-01
NCT04274764,2020-07-01,2025-03-01
NCT04476810,2017-01-01,2020-01-01
NCT01194310,2009-01-01,2016-12-01
NCT00293761,2006-01-01,2006-05-01
NCT04317573,2018-10-01,2019-10-01
NCT02565173,2015-09-01,2016-11-01
NCT01404364,2010-01-01,2010-12-01
NCT04334564,2015-04-01,2020-11-01
NCT03323164,2017-07-01,2020-05-01
NCT00947661,2010-07-01,2012-05-01
NCT01304264,2011-03-01,2011-11-01
NCT04155164,2019-12-01,2024-05-01
NCT01652664,2012-09-01,2014-03-01
NCT02114073,2014-04-01,2015-02-01
NCT01791673,2012-11-01,2014-06-01
NCT00815373,2008-12-01,2012-06-01
NCT04736264,2020-10-01,2024-03-01
NCT04465864,2020-02-01,2021-01-01
NCT01699464,2012-10-01,2013-04-01
NCT02636946,2016-02-01,2021-01-01
NCT01542710,2011-01-01,2011-12-01
NCT03318510,2017-01-01,2017-12-01
NCT01589510,2012-04-01,2013-02-01
NCT04912362,2020-09-01,2023-08-01
NCT01229462,2010-10-01,2011-09-01
NCT02981446,2016-11-01,2019-01-01
NCT05181046,2021-11-01,2022-12-01
NCT03891446,2019-03-01,2026-08-01
NCT02544646,2011-10-01,2017-06-01
NCT03808688,2018-12-01,2019-07-01
NCT01068938,2008-11-01,2016-12-01
NCT03310788,2017-10-01,2022-12-01
NCT00727038,2008-01-01,2009-05-01
NCT00844389,2009-04-01,2010-03-01
NCT01401088,2011-07-01,2013-12-01
NCT01467388,2011-11-01,2015-12-01
NCT01252888,2010-12-01,2016-12-01
NCT04891588,2021-03-01,2021-12-01
NCT01841450,2013-07-01,2021-11-01
NCT00811850,2008-12-01,2009-12-01
NCT03067415,2017-03-01,2017-09-01
NCT04188015,2018-07-01,2019-06-01
NCT02085850,2014-03-01,2016-03-01
NCT05484050,2022-09-01,2023-06-01
NCT02537015,2015-08-01,2016-08-01
NCT05797350,2022-09-01,2024-12-01
NCT01253902,2010-12-01,2011-10-01
NCT05201378,2021-07-01,2022-10-01
NCT01084902,2010-02-01,2010-12-01
NCT04011878,2016-01-01,2018-10-01
NCT02209077,2013-06-01,2013-07-01
NCT02622178,2011-09-01,2013-12-01
NCT00572455,2007-12-01,2009-06-01
NCT02571712,2015-11-01,2018-06-01
NCT01997255,2014-04-01,2016-04-01
NCT01453855,2011-11-01,2012-08-01
